Concept,MoodTag1,MoodTag2,Semantic1,Semantic2,Semantic3,Semantic4,Semantic5
randomly,surprising,joyful,indiscriminately,haphazardly,willy-nilly,arbitrarily,at_random
forward,admirable,interesting,forwards,frontward,frontwards,forrad,forrard
craftily,admirable,surprising,cunningly,foxily,knavishly,slyly,trickily
spruce_up,admirable,surprising,spruce,titivate,tittivate,smarten_up,slick_up
magnetize,interesting,admirable,mesmerize,mesmerise,magnetise,bewitch,spellbind
bamboozle,surprising,joyful,snow,hoodwink,pull_the_wool_over_someone's_eyes,lead_by_the_nose,play_false
gull,interesting,joyful,dupe,slang,befool,cod,fool
chew_the_fat,admirable,interesting,shoot_the_breeze,chat,confabulate,confab,chitchat
toss_off,interesting,joyful,pop,bolt_down,belt_down,pour_down,down
strong-arm,interesting,joyful,bully,browbeat,bullyrag,ballyrag,boss_around
breeze_through,interesting,joyful,ace,pass_with_flying_colors,sweep_through,sail_through,nail
lobotomy,joyful,interesting,leukotomy,leucotomy,prefrontal_lobotomy,prefrontal_leukotomy,prefrontal_leucotomy
t'ai_chi,joyful,interesting,tai_chi,t'ai_chi_chuan,tai_chi_chuan,taichi,taichichuan
red_grouse,surprising,admirable,moorfowl,moorbird,moor-bird,moorgame,lagopus_scoticus
cydippida,joyful,interesting,order_cydippida,cydippidea,order_cydippidea,cydippea,order_cydippea
corn_earworm,surprising,admirable,cotton_bollworm,tomato_fruitworm,tobacco_budworm,vetchworm,heliothis_zia
major_tranquilizer,surprising,admirable,major_tranquillizer,major_tranquilliser,antipsychotic_drug,antipsychotic_agent,antipsychotic
flightiness,joyful,interesting,arbitrariness,whimsicality,whimsy,whimsey,capriciousness
self-control,interesting,joyful,self-possession,possession,willpower,will_power,self-command
fulsomeness,joyful,interesting,oiliness,oleaginousness,smarminess,unctuousness,unction
plangency,joyful,interesting,resonance,reverberance,ringing,sonorousness,sonority
forte,interesting,joyful,strong_suit,long_suit,metier,specialty,speciality
kabbalah,joyful,interesting,cabbalah,cabbala,cabala,qabbalah,qabbala
cabala,joyful,interesting,cabbala,cabbalah,kabala,kabbala,kabbalah
shivaree,joyful,interesting,chivaree,charivari,callithump,callathump,belling
defamer,surprising,admirable,maligner,slanderer,vilifier,libeler,backbiter
ma,surprising,admirable,mama,mamma,mom,momma,mommy
boehme,surprising,admirable,jakob_boehme,bohme,jakob_bohme,boehm,jakob_boehm
sweet_corn,surprising,admirable,sugar_corn,green_corn,sweet_corn_plant,zea_mays_rugosa,zea_saccharata
pipal,surprising,admirable,pipal_tree,pipul,peepul,sacred_fig,bo_tree
hydrocharitaceae,joyful,interesting,family_hydrocharitaceae,hydrocharidaceae,family_hydrocharidaceae,frogbit_family,frog's-bit_family
spine,surprising,admirable,thorn,prickle,pricker,sticker,spikelet
common_maidenhair,surprising,admirable,venushair,venus'-hair_fern,southern_maidenhair,venus_maidenhair,adiantum_capillus-veneris
mineral_extraction,surprising,admirable,mineral_processing,mineral_dressing,ore_processing,ore_dressing,beneficiation
shred,interesting,joyful,scintilla,whit,iota,tittle,smidgen
attention_deficit_disorder,interesting,joyful,add,attention_deficit_hyperactivity_disorder,adhd,hyperkinetic_syndrome,minimal_brain_dysfunction
judgment_day,joyful,interesting,judgement_day,day_of_judgment,day_of_judgement,doomsday,last_judgment
